year,age17,age18,age19,age20,age21,age22_24,age25_29,age30_34,age35_39,age40_49,age50_59,age60_64,age65_69,age_70over,total_released,total_50_over,pct_over50
2011,30,128,280,420,566,1790,2751,2375,1745,3228,1441,210,103,51,15118,1805,0.1193940997
2012,31,129,269,396,527,1728,2667,2297,1657,3079,1580,236,72,58,14726,1946,0.1321472226
2013,23,123,281,362,447,1702,2445,2203,1672,2829,1606,218,96,78,14085,1998,0.1418530351
2014,16,88,204,327,392,1558,2573,2104,1601,2676,1601,249,103,63,13555,2016,0.1487274069
2015,14,74,158,285,396,1457,2470,2139,1643,2491,1622,244,94,61,13148,2021,0.1537115911
2016,18,52,157,228,368,1413,2525,2180,1786,2434,1667,262,105,58,13253,2092,0.1578510526
2017,13,53,143,242,307,1185,2582,2160,1780,2448,1743,331,111,72,13170,2257,0.1713743356
2018,18,67,148,213,263,1161,2515,2269,1950,2560,1917,380,159,103,13723,2559,0.1864752605
2019,12,44,103,171,251,997,2209,2179,1840,2411,1738,355,139,86,12535,2318,0.1849222178
2020,3,24,77,119,164,783,1853,1985,1675,2132,1487,323,155,77,10857,2042,0.1880814221
