year,age16_18,age19_20,age21_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_64,age65_over,cohort,year_total,num_50_over,prop_50_totalrel
2008,229,1014,3610,4979,3928,3710,3910,2970,2352,165,release,26867,2517,0.09368370119
2008,131,486,1616,1961,1522,1486,1608,1139,709,28,total_return,10686,737,0.02743142145
2008,39,131,434,496,349,323,327,249,168,6,new_comm,2522,174,0.006476346447
2008,92,355,1182,1465,1173,1163,1281,890,541,22,parole_v,8164,563,0.020955075
2009,207,976,3465,4576,3730,3293,3442,2754,2445,172,release,25060,2617,0.1044293695
2009,118,499,1667,1988,1485,1274,1424,1039,733,19,total_return,10246,752,0.03000798085
2009,41,155,476,475,357,263,298,218,126,1,new_comm,2410,127,0.005067837191
2009,77,344,1191,1513,1128,1011,1126,821,607,18,parole_v,7836,625,0.02494014366
2010,175,873,3387,4562,3904,3062,3209,2745,2525,163,release,24605,2688,0.1092460882
2010,101,458,1647,1968,1576,1219,1333,1096,788,31,total_return,10217,819,0.0332859175
2010,24,131,394,479,351,252,247,212,149,9,new_comm,2248,158,0.006421459053
2010,77,327,1253,1489,1225,967,1086,884,639,22,parole_v,7969,661,0.02686445844
2011,166,831,3326,4463,3834,2804,2881,2611,2603,191,release,23710,2794,0.1178405736
2011,99,454,1611,1998,1609,1105,1176,1071,865,19,total_return,10007,884,0.03728384648
2011,20,105,359,417,318,216,242,203,159,2,new_comm,2041,161,0.006790383804
2011,79,349,1252,1581,1291,889,934,868,706,17,parole_v,7966,723,0.03049346267
2012,166,815,3207,4344,3834,2758,2699,2586,2769,168,release,23346,2937,0.1258031354
2012,105,452,1608,2030,1667,1056,1121,988,897,29,total_return,9953,926,0.0396641823
2012,27,113,387,478,332,201,217,211,185,7,new_comm,2158,192,0.008224106913
2012,78,339,1221,1552,1335,855,904,777,712,22,parole_v,7795,734,0.03144007539
2013,150,785,3147,4116,3703,2789,2415,2316,2831,218,release,22470,3049,0.1356920338
2013,92,458,1574,1899,1546,1126,914,931,902,32,total_return,9474,934,0.04156653316
2013,22,122,350,447,293,227,159,189,162,4,new_comm,1975,166,0.007387627948
2013,70,336,1224,1452,1253,899,755,742,740,28,parole_v,7499,768,0.03417890521
2014,109,666,2921,4223,3596,2753,2193,2243,2896,216,release,21816,3112,0.1426475981
2014,69,371,1494,1999,1561,1120,853,859,953,39,total_return,9318,992,0.04547121379
2014,21,98,373,445,328,248,203,161,199,3,new_comm,2079,202,0.009259259259
2014,48,273,1121,1554,1233,872,650,698,754,36,parole_v,7239,790,0.03621195453
2015,92,554,2694,4076,3557,2734,1964,2030,2869,206,release,20776,3075,0.1480073161
2015,53,298,1396,1896,1474,1104,729,789,970,35,total_return,8744,1005,0.04837312283
2015,12,78,309,381,323,213,146,158,208,3,new_comm,1831,211,0.01015594917
2015,41,220,1087,1515,1151,891,583,631,762,32,parole_v,6913,794,0.03821717366
2016,73,461,2672,4256,3602,2968,1934,2026,3012,220,release,21224,3232,0.1522804372
2016,41,246,1338,1945,1509,1196,677,716,927,32,total_return,8627,959,0.04518469657
2016,10,68,315,388,305,259,120,129,191,4,new_comm,1789,195,0.009187712024
2016,31,178,1023,1557,1204,937,557,587,736,28,parole_v,6838,764,0.03599698455
2017,72,456,2284,4290,3587,2941,2020,1854,3165,260,release,20929,3425,0.163648526
2017,43,233,1093,1781,1410,1081,700,619,937,37,total_return,7934,974,0.04653829614
2017,13,67,274,373,288,216,129,120,169,7,new_comm,1656,176,0.008409384108
2017,30,166,819,1408,1122,865,571,499,768,30,parole_v,6278,798,0.03812891204
2018,85,416,2011,4083,3658,3029,2119,1857,3338,325,release,20921,3663,0.1750872329
2018,41,161,835,1452,1200,947,597,486,864,30,total_return,6613,894,0.04273218297
2018,8,32,176,268,210,165,107,75,154,3,new_comm,1198,157,0.007504421395
2018,33,129,659,1184,990,782,490,411,710,27,parole_v,5415,737,0.03522776158
