"","colour","x","y","PANEL","group","flipped_aes","linewidth","linetype","alpha"
"1","#F8766D",2008,2517,"1",1,FALSE,0.5,1,NA
"2","#F8766D",2009,2617,"1",1,FALSE,0.5,1,NA
"3","#F8766D",2010,2688,"1",1,FALSE,0.5,1,NA
"4","#F8766D",2011,2794,"1",1,FALSE,0.5,1,NA
"5","#F8766D",2012,2937,"1",1,FALSE,0.5,1,NA
"6","#F8766D",2013,3049,"1",1,FALSE,0.5,1,NA
"7","#F8766D",2014,3112,"1",1,FALSE,0.5,1,NA
"8","#F8766D",2015,3075,"1",1,FALSE,0.5,1,NA
"9","#F8766D",2016,3232,"1",1,FALSE,0.5,1,NA
"10","#F8766D",2017,3425,"1",1,FALSE,0.5,1,NA
"11","#F8766D",2018,3663,"1",1,FALSE,0.5,1,NA
"12","#7CAE00",2008,737,"1",2,FALSE,0.5,1,NA
"13","#7CAE00",2009,752,"1",2,FALSE,0.5,1,NA
"14","#7CAE00",2010,819,"1",2,FALSE,0.5,1,NA
"15","#7CAE00",2011,884,"1",2,FALSE,0.5,1,NA
"16","#7CAE00",2012,926,"1",2,FALSE,0.5,1,NA
"17","#7CAE00",2013,934,"1",2,FALSE,0.5,1,NA
"18","#7CAE00",2014,992,"1",2,FALSE,0.5,1,NA
"19","#7CAE00",2015,1005,"1",2,FALSE,0.5,1,NA
"20","#7CAE00",2016,959,"1",2,FALSE,0.5,1,NA
"21","#7CAE00",2017,974,"1",2,FALSE,0.5,1,NA
"22","#7CAE00",2018,894,"1",2,FALSE,0.5,1,NA
"23","#00BFC4",2008,563,"1",3,FALSE,0.5,1,NA
"24","#00BFC4",2009,625,"1",3,FALSE,0.5,1,NA
"25","#00BFC4",2010,661,"1",3,FALSE,0.5,1,NA
"26","#00BFC4",2011,723,"1",3,FALSE,0.5,1,NA
"27","#00BFC4",2012,734,"1",3,FALSE,0.5,1,NA
"28","#00BFC4",2013,768,"1",3,FALSE,0.5,1,NA
"29","#00BFC4",2014,790,"1",3,FALSE,0.5,1,NA
"30","#00BFC4",2015,794,"1",3,FALSE,0.5,1,NA
"31","#00BFC4",2016,764,"1",3,FALSE,0.5,1,NA
"32","#00BFC4",2017,798,"1",3,FALSE,0.5,1,NA
"33","#00BFC4",2018,737,"1",3,FALSE,0.5,1,NA
"34","#C77CFF",2008,174,"1",4,FALSE,0.5,1,NA
"35","#C77CFF",2009,127,"1",4,FALSE,0.5,1,NA
"36","#C77CFF",2010,158,"1",4,FALSE,0.5,1,NA
"37","#C77CFF",2011,161,"1",4,FALSE,0.5,1,NA
"38","#C77CFF",2012,192,"1",4,FALSE,0.5,1,NA
"39","#C77CFF",2013,166,"1",4,FALSE,0.5,1,NA
"40","#C77CFF",2014,202,"1",4,FALSE,0.5,1,NA
"41","#C77CFF",2015,211,"1",4,FALSE,0.5,1,NA
"42","#C77CFF",2016,195,"1",4,FALSE,0.5,1,NA
"43","#C77CFF",2017,176,"1",4,FALSE,0.5,1,NA
"44","#C77CFF",2018,157,"1",4,FALSE,0.5,1,NA
