"","colour","x","y","PANEL","group","flipped_aes","linewidth","linetype","alpha","colour.1","x.1","y.1","PANEL.1","group.1","flipped_aes.1","linewidth.1","linetype.1","alpha.1","colour.2","x.2","y.2","PANEL.2","group.2","flipped_aes.2","linewidth.2","linetype.2","alpha.2","colour.3","x.3","y.3","PANEL.3","group.3","flipped_aes.3","linewidth.3","linetype.3","alpha.3","colour.4","x.4","y.4","PANEL.4","group.4","flipped_aes.4","linewidth.4","linetype.4","alpha.4","colour.5","x.5","y.5","PANEL.5","group.5","flipped_aes.5","linewidth.5","linetype.5","alpha.5","colour.6","x.6","y.6","PANEL.6","group.6","flipped_aes.6","linewidth.6","linetype.6","alpha.6"
"1","#FB61D7",2011,1805,"1",1,FALSE,0.5,1,NA,"#F8766D",2011,1424,"1",1,FALSE,0.5,1,NA,"#C49A00",2011,1790,"1",1,FALSE,0.5,1,NA,"#53B400",2011,2751,"1",1,FALSE,0.5,1,NA,"#00C094",2011,2375,"1",1,FALSE,0.5,1,NA,"#00B6EB",2011,1745,"1",1,FALSE,0.5,1,NA,"#A58AFF",2011,3228,"1",1,FALSE,0.5,1,NA
"2","#FB61D7",2012,1946,"1",1,FALSE,0.5,1,NA,"#F8766D",2012,1352,"1",1,FALSE,0.5,1,NA,"#C49A00",2012,1728,"1",1,FALSE,0.5,1,NA,"#53B400",2012,2667,"1",1,FALSE,0.5,1,NA,"#00C094",2012,2297,"1",1,FALSE,0.5,1,NA,"#00B6EB",2012,1657,"1",1,FALSE,0.5,1,NA,"#A58AFF",2012,3079,"1",1,FALSE,0.5,1,NA
"3","#FB61D7",2013,1998,"1",1,FALSE,0.5,1,NA,"#F8766D",2013,1236,"1",1,FALSE,0.5,1,NA,"#C49A00",2013,1702,"1",1,FALSE,0.5,1,NA,"#53B400",2013,2445,"1",1,FALSE,0.5,1,NA,"#00C094",2013,2203,"1",1,FALSE,0.5,1,NA,"#00B6EB",2013,1672,"1",1,FALSE,0.5,1,NA,"#A58AFF",2013,2829,"1",1,FALSE,0.5,1,NA
"4","#FB61D7",2014,2016,"1",1,FALSE,0.5,1,NA,"#F8766D",2014,1027,"1",1,FALSE,0.5,1,NA,"#C49A00",2014,1558,"1",1,FALSE,0.5,1,NA,"#53B400",2014,2573,"1",1,FALSE,0.5,1,NA,"#00C094",2014,2104,"1",1,FALSE,0.5,1,NA,"#00B6EB",2014,1601,"1",1,FALSE,0.5,1,NA,"#A58AFF",2014,2676,"1",1,FALSE,0.5,1,NA
"5","#FB61D7",2015,2021,"1",1,FALSE,0.5,1,NA,"#F8766D",2015,927,"1",1,FALSE,0.5,1,NA,"#C49A00",2015,1457,"1",1,FALSE,0.5,1,NA,"#53B400",2015,2470,"1",1,FALSE,0.5,1,NA,"#00C094",2015,2139,"1",1,FALSE,0.5,1,NA,"#00B6EB",2015,1643,"1",1,FALSE,0.5,1,NA,"#A58AFF",2015,2491,"1",1,FALSE,0.5,1,NA
"6","#FB61D7",2016,2092,"1",1,FALSE,0.5,1,NA,"#F8766D",2016,823,"1",1,FALSE,0.5,1,NA,"#C49A00",2016,1413,"1",1,FALSE,0.5,1,NA,"#53B400",2016,2525,"1",1,FALSE,0.5,1,NA,"#00C094",2016,2180,"1",1,FALSE,0.5,1,NA,"#00B6EB",2016,1786,"1",1,FALSE,0.5,1,NA,"#A58AFF",2016,2434,"1",1,FALSE,0.5,1,NA
"7","#FB61D7",2017,2257,"1",1,FALSE,0.5,1,NA,"#F8766D",2017,758,"1",1,FALSE,0.5,1,NA,"#C49A00",2017,1185,"1",1,FALSE,0.5,1,NA,"#53B400",2017,2582,"1",1,FALSE,0.5,1,NA,"#00C094",2017,2160,"1",1,FALSE,0.5,1,NA,"#00B6EB",2017,1780,"1",1,FALSE,0.5,1,NA,"#A58AFF",2017,2448,"1",1,FALSE,0.5,1,NA
"8","#FB61D7",2018,2559,"1",1,FALSE,0.5,1,NA,"#F8766D",2018,709,"1",1,FALSE,0.5,1,NA,"#C49A00",2018,1161,"1",1,FALSE,0.5,1,NA,"#53B400",2018,2515,"1",1,FALSE,0.5,1,NA,"#00C094",2018,2269,"1",1,FALSE,0.5,1,NA,"#00B6EB",2018,1950,"1",1,FALSE,0.5,1,NA,"#A58AFF",2018,2560,"1",1,FALSE,0.5,1,NA
"9","#FB61D7",2019,2318,"1",1,FALSE,0.5,1,NA,"#F8766D",2019,581,"1",1,FALSE,0.5,1,NA,"#C49A00",2019,997,"1",1,FALSE,0.5,1,NA,"#53B400",2019,2209,"1",1,FALSE,0.5,1,NA,"#00C094",2019,2179,"1",1,FALSE,0.5,1,NA,"#00B6EB",2019,1840,"1",1,FALSE,0.5,1,NA,"#A58AFF",2019,2411,"1",1,FALSE,0.5,1,NA
"10","#FB61D7",2020,2042,"1",1,FALSE,0.5,1,NA,"#F8766D",2020,387,"1",1,FALSE,0.5,1,NA,"#C49A00",2020,783,"1",1,FALSE,0.5,1,NA,"#53B400",2020,1853,"1",1,FALSE,0.5,1,NA,"#00C094",2020,1985,"1",1,FALSE,0.5,1,NA,"#00B6EB",2020,1675,"1",1,FALSE,0.5,1,NA,"#A58AFF",2020,2132,"1",1,FALSE,0.5,1,NA
